cycle,left_5,internal_zero,external_zero,right_5,balance,strip_health,stability,noise,pressure
100,-0.20479,0.0,0.0,0.54278,0.75081,0.3263,0.71828,0.02,1
101,-0.53199,0.0,0.0,0.13784,0.77672,0.32479,0.73684,0.02,1
102,-0.37668,0.0,0.0,-0.5616,0.93836,0.32414,0.75976,0.02,1
103,0.42257,0.0,0.0,-0.518,0.68648,0.32214,0.67102,0.02,1
104,0.58604,0.0,0.0,0.29583,0.90326,0.32031,0.75395,0.02,1
105,-0.12748,0.0,0.0,0.46295,0.80319,0.31855,0.75509,0.02,1
106,-0.20085,0.0,0.0,0.52094,0.7594,0.31641,0.72303,0.02,1
107,-0.50121,0.0,0.0,0.11383,0.79499,0.31444,0.74853,0.02,1
108,-0.34244,0.0,0.0,-0.54854,0.9313,0.31349,0.76161,0.02,1
109,0.41919,0.0,0.0,-0.47703,0.70126,0.31222,0.68025,0.02,1
110,0.58068,0.0,0.0,0.29388,0.9044,0.30988,0.7537,0.02,1
111,-0.14425,0.0,0.0,0.44744,0.80277,0.30805,0.75322,0.02,1
112,-0.20341,0.0,0.0,0.49778,0.76627,0.30597,0.72644,0.02,1
113,-0.48614,0.0,0.0,0.12623,0.79588,0.30458,0.7477,0.02,1
114,-0.31959,0.0,0.0,-0.51394,0.93522,0.30474,0.76885,0.02,1
115,0.41231,0.0,0.0,-0.46227,0.70847,0.30343,0.68416,0.02,1
116,0.57167,0.0,0.0,0.26457,0.89763,0.30142,0.75485,0.02,1
117,-0.14771,0.0,0.0,0.4506,0.80056,0.29841,0.75017,0.02,1
118,-0.18077,0.0,0.0,0.48727,0.77732,0.29672,0.73307,0.02,1
119,-0.47226,0.0,0.0,0.11179,0.80532,0.29493,0.75309,0.02,1
120,-0.32119,0.0,0.0,-0.5177,0.9345,0.29394,0.7663,0.02,1
121,0.40108,0.0,0.0,-0.43438,0.72152,0.293,0.69205,0.02,1
122,0.53805,0.0,0.0,0.26394,0.90863,0.29113,0.76144,0.02,1
123,-0.13508,0.0,0.0,0.4194,0.81517,0.28878,0.75932,0.02,1
124,-0.19589,0.0,0.0,0.46344,0.78022,0.28669,0.73366,0.02,1
125,-0.4514,0.0,0.0,0.11564,0.81098,0.2852,0.75574,0.02,1
126,-0.3161,0.0,0.0,-0.50579,0.93677,0.28362,0.76768,0.02,1
127,0.38877,0.0,0.0,-0.42478,0.72882,0.2821,0.69571,0.02,1
128,0.53624,0.0,0.0,0.26982,0.91119,0.27927,0.76005,0.02,1
129,-0.12928,0.0,0.0,0.40074,0.82333,0.27697,0.76346,0.02,1
130,-0.19671,0.0,0.0,0.44584,0.78582,0.27449,0.73589,0.02,1
131,-0.44262,0.0,0.0,0.1031,0.81809,0.27332,0.75911,0.02,1
132,-0.29412,0.0,0.0,-0.46661,0.9425,0.27288,0.77572,0.02,1
133,0.36783,0.0,0.0,-0.42189,0.73676,0.27096,0.69979,0.02,1
134,0.49859,0.0,0.0,0.25727,0.91956,0.26872,0.76767,0.02,1
135,-0.15049,0.0,0.0,0.39235,0.81905,0.26681,0.75883,0.02,1
136,-0.19018,0.0,0.0,0.43578,0.79134,0.26445,0.73839,0.02,1
137,-0.43138,0.0,0.0,0.09488,0.82458,0.26245,0.76219,0.02,1
138,-0.27153,0.0,0.0,-0.46001,0.93717,0.26124,0.77575,0.02,1
139,0.35345,0.0,0.0,-0.39012,0.75214,0.25998,0.7093,0.02,1
140,0.48269,0.0,0.0,0.23416,0.91716,0.25878,0.77022,0.02,1
141,-0.14712,0.0,0.0,0.37728,0.8252,0.25585,0.76165,0.02,1
142,-0.19042,0.0,0.0,0.40438,0.80173,0.25384,0.74433,0.02,1
143,-0.40869,0.0,0.0,0.10513,0.82873,0.25334,0.76383,0.02,1
144,-0.26382,0.0,0.0,-0.43619,0.94254,0.25238,0.78025,0.02,1
